Query,Location,Area,Number of Businesses,Number of Emails,Number of Phone Numbers,Total Cost,Total Time,Date
salon,77016,1,10,0,0,0.037000000000000005,2.5,2024-07-31 12:31:25
salon,houston,1,10,29,1,0.037000000000000005,16.5,2024-07-31 12:35:08
restaurant,77016,1,10,Start,2024-07-31 12:49:03
restaurant,77016,1,10,Start,2024-07-31 12:51:27
restaurant,77016,1,10,9,2,0.037000000000000005,14.5,End,2024-07-31 13:07:53
church,77095,1,10,Start,2024-07-31 13:45:24
salon,77095,1,10,Start,2024-07-31 14:37:25
salon,77095,1,10,20,1,0.017,8.5,End,2024-07-31 14:38:53
restaurant,77095,1,100,Start,2024-07-31 14:41:08
restaurant,77095,1,40,14,5,0.068,46.0,End,2024-07-31 14:49:19
restaurant,77095,1,100,Start,2024-07-31 14:52:09
restaurant,77095,1,80,14,5,0.136,94.0,End,2024-07-31 14:59:20
restaurant,77095,1,100,Start,2024-07-31 15:01:00
restaurant,77095,1,100,14,5,0.17000000000000004,121.0,End,2024-07-31 15:03:49
